Scenario,Replication,seed,order_size_mean,limit_price_decay_rate,mm_base_spread,sim_duration,avg_spread,median_exec_time,mean_exec_time,p99_exec_time,resting_exec_count,market_exec_count,total_executions,trade_count,trades_per_hour,execs_per_hour,mm_final_pnl,mm_final_pnl_per_hour,mm_final_pnl_per_1k_trades,mm_final_inventory,avg_mm_inventory,rest_exec_skew,rest_exec_kurtosis,price_volatility,depth_within_5_ticks,mm_depth_within_5_ticks,mm_depth_fraction,mm_realized_spread,runtime_sec,bid_level_1,bid_level_2,bid_level_3,bid_level_4,bid_level_5,ask_level_1,ask_level_2,ask_level_3,ask_level_4,ask_level_5,Replications,sim_duration_Mean,sim_duration_CI_95,avg_spread_Mean,avg_spread_CI_95,median_exec_time_Mean,median_exec_time_CI_95,mean_exec_time_Mean,mean_exec_time_CI_95,p99_exec_time_Mean,p99_exec_time_CI_95,resting_exec_count_Mean,resting_exec_count_CI_95,market_exec_count_Mean,market_exec_count_CI_95,total_executions_Mean,total_executions_CI_95,trade_count_Mean,trade_count_CI_95,trades_per_hour_Mean,trades_per_hour_CI_95,execs_per_hour_Mean,execs_per_hour_CI_95,mm_final_pnl_Mean,mm_final_pnl_CI_95,mm_final_pnl_per_hour_Mean,mm_final_pnl_per_hour_CI_95,mm_final_pnl_per_1k_trades_Mean,mm_final_pnl_per_1k_trades_CI_95,mm_final_inventory_Mean,mm_final_inventory_CI_95,avg_mm_inventory_Mean,avg_mm_inventory_CI_95,rest_exec_skew_Mean,rest_exec_skew_CI_95,rest_exec_kurtosis_Mean,rest_exec_kurtosis_CI_95,price_volatility_Mean,price_volatility_CI_95,depth_within_5_ticks_Mean,depth_within_5_ticks_CI_95,mm_depth_within_5_ticks_Mean,mm_depth_within_5_ticks_CI_95,mm_depth_fraction_Mean,mm_depth_fraction_CI_95,mm_realized_spread_Mean,mm_realized_spread_CI_95,runtime_sec_Mean,runtime_sec_CI_95,bid_level_1_Mean,bid_level_1_CI_95,bid_level_2_Mean,bid_level_2_CI_95,bid_level_3_Mean,bid_level_3_CI_95,bid_level_4_Mean,bid_level_4_CI_95,bid_level_5_Mean,bid_level_5_CI_95,ask_level_1_Mean,ask_level_1_CI_95,ask_level_2_Mean,ask_level_2_CI_95,ask_level_3_Mean,ask_level_3_CI_95,ask_level_4_Mean,ask_level_4_CI_95,ask_level_5_Mean,ask_level_5_CI_95
S101,1.0,1000001.0,30.0,0.05,0.1,23400.0,3.698917533705444,26.320014623830502,854.4092799915891,10795.797447912335,279980.0,10.0,279990.0,279375.0,42980.769230769234,43075.38461538462,756.0946874999811,116.32225961538171,2.7063791946308045,-2.0,-1.196070055531824,0.0,0.0,5.731043807405476e-05,0.0,0.0,0.0,0.08923932596791267,1.5111584663391113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S102,1.0,1000001.0,30.0,0.05,0.25,23400.0,3.7740430401835874,27.00944563554549,872.1711668085453,10844.908858125273,279930.0,10.0,279940.0,279350.0,42976.92307692308,43067.69230769231,1358.0612500000016,208.93250000000026,4.861504385179887,8.0,-0.10123878684322939,0.0,0.0,5.621470495653194e-05,0.0,0.0,0.0,-0.07284319338422413,1.48331880569458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103,1.0,1000001.0,30.0,0.05,0.5,23400.0,3.9041170920684625,27.58302814994022,895.9733393450318,11531.335698753737,279782.0,10.0,279792.0,279276.0,42965.53846153846,43044.92307692308,2290.624999999999,352.403846153846,8.20201163007204,11.0,2.1892353695002136,0.0,0.0,5.340418018074499e-05,0.0,0.0,0.0,-0.3246258443793015,1.312767744064331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S104,1.0,1000001.0,30.0,0.05,1.0,23400.0,4.186417391772046,26.939751719881315,866.2962571142757,10748.967774596384,279334.0,10.0,279344.0,279052.0,42931.07692307692,42976.0,4035.1912499999994,620.7986538461538,14.460355955162477,2.0,-4.360102520290474,0.0,0.0,4.747633512170102e-05,0.0,0.0,0.0,-0.7967642635511654,1.4198088645935059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S105,1.0,1000001.0,30.0,0.05,2.0,23400.0,4.7101451156981335,27.37120415326899,876.7614919674105,10749.761132707683,279128.0,10.0,279138.0,278949.0,42915.23076923077,42944.307692307695,7291.321249999999,1121.7417307692308,26.13854593492,-10.0,-3.4762921828278515,0.0,0.0,4.6118626489552965e-05,0.0,0.0,0.0,-1.6550309170471844,1.5245816707611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S106,1.0,1000001.0,30.0,0.1,0.1,23400.0,1.898903751225106,27.379567144119846,869.5448712630116,11057.861987484082,279962.0,10.0,279972.0,279366.0,42979.38461538462,43072.61538461539,558.5443749999804,85.92990384615084,1.999328389997281,0.0,-1.287911149081589,0.0,0.0,1.634963650265671e-05,0.0,0.0,0.0,-0.012608867900602306,1.5202710628509521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S107,1.0,1000001.0,30.0,0.1,0.25,23400.0,1.9594643284010231,27.11859003961945,867.3499398655777,10932.429841336696,279586.0,10.0,279596.0,279178.0,42950.46153846154,43014.769230769234,1093.9449999999968,168.2992307692303,3.9184498778556938,-1.0,-1.7569414780008543,0.0,0.0,1.5268016560738624e-05,0.0,0.0,0.0,-0.1511228651542189,1.502351999282837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S108,1.0,1000001.0,30.0,0.1,0.5,23400.0,2.093452358186121,27.880568070235313,886.2114173561725,11207.04074125425,279470.0,10.0,279480.0,279120.0,42941.53846153846,42996.92307692308,2001.632499999996,307.94346153846095,7.171225637718529,3.0,-0.7740281930798804,0.0,0.0,1.4172899633567307e-05,0.0,0.0,0.0,-0.39937991128010153,1.628350019454956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S109,1.0,1000001.0,30.0,0.1,1.0,23400.0,2.342231387301891,28.225394808951023,896.4900620029017,11274.726109869109,279136.0,10.0,279146.0,278953.0,42915.846153846156,42945.53846153846,3538.8262500000014,544.4348076923079,12.686102139070028,-1.0,-1.0593763348996155,0.0,0.0,1.3508586217206122e-05,0.0,0.0,0.0,-0.8152990239857107,1.7676219940185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S110,1.0,1000001.0,30.0,0.1,2.0,23400.0,2.7463694182822174,26.979507935448055,889.7735991270075,11062.885320201969,278820.0,10.0,278830.0,278795.0,42891.53846153846,42896.92307692308,5964.24499999999,917.5761538461524,21.392941049875322,3.0,-1.4536522853481417,0.0,0.0,1.5260307004260206e-05,0.0,0.0,0.0,-1.4224076609671386,1.6089789867401123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
