Scenario,Replication,seed,order_size_mean,limit_price_decay_rate,mm_base_spread,sim_duration,avg_spread,median_exec_time,mean_exec_time,p99_exec_time,resting_exec_count,market_exec_count,total_executions,trade_count,trades_per_hour,execs_per_hour,mm_final_pnl,mm_final_pnl_per_hour,mm_final_pnl_per_1k_trades,mm_final_inventory,avg_mm_inventory,rest_exec_skew,rest_exec_kurtosis,price_volatility,depth_within_5_ticks,mm_depth_within_5_ticks,mm_depth_fraction,mm_realized_spread,runtime_sec,bid_level_1,bid_level_2,bid_level_3,bid_level_4,bid_level_5,ask_level_1,ask_level_2,ask_level_3,ask_level_4,ask_level_5,Replications,sim_duration_Mean,sim_duration_CI_95,avg_spread_Mean,avg_spread_CI_95,median_exec_time_Mean,median_exec_time_CI_95,mean_exec_time_Mean,mean_exec_time_CI_95,p99_exec_time_Mean,p99_exec_time_CI_95,resting_exec_count_Mean,resting_exec_count_CI_95,market_exec_count_Mean,market_exec_count_CI_95,total_executions_Mean,total_executions_CI_95,trade_count_Mean,trade_count_CI_95,trades_per_hour_Mean,trades_per_hour_CI_95,execs_per_hour_Mean,execs_per_hour_CI_95,mm_final_pnl_Mean,mm_final_pnl_CI_95,mm_final_pnl_per_hour_Mean,mm_final_pnl_per_hour_CI_95,mm_final_pnl_per_1k_trades_Mean,mm_final_pnl_per_1k_trades_CI_95,mm_final_inventory_Mean,mm_final_inventory_CI_95,avg_mm_inventory_Mean,avg_mm_inventory_CI_95,rest_exec_skew_Mean,rest_exec_skew_CI_95,rest_exec_kurtosis_Mean,rest_exec_kurtosis_CI_95,price_volatility_Mean,price_volatility_CI_95,depth_within_5_ticks_Mean,depth_within_5_ticks_CI_95,mm_depth_within_5_ticks_Mean,mm_depth_within_5_ticks_CI_95,mm_depth_fraction_Mean,mm_depth_fraction_CI_95,mm_realized_spread_Mean,mm_realized_spread_CI_95,runtime_sec_Mean,runtime_sec_CI_95,bid_level_1_Mean,bid_level_1_CI_95,bid_level_2_Mean,bid_level_2_CI_95,bid_level_3_Mean,bid_level_3_CI_95,bid_level_4_Mean,bid_level_4_CI_95,bid_level_5_Mean,bid_level_5_CI_95,ask_level_1_Mean,ask_level_1_CI_95,ask_level_2_Mean,ask_level_2_CI_95,ask_level_3_Mean,ask_level_3_CI_95,ask_level_4_Mean,ask_level_4_CI_95,ask_level_5_Mean,ask_level_5_CI_95
S51,3.0,1000003.0,10.0,0.05,0.1,23400.0,3.7076736061915527,22.093055876708604,725.2696845509699,12304.442527574047,94696.0,10.0,94706.0,94178.0,14488.923076923078,14570.153846153848,389.8006249999844,59.969326923074526,4.138977521289307,16.0,4.957283212302435,0.0,0.0,3.384675988347412e-05,0.0,0.0,0.0,0.06091308593750612,0.6402091979980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S52,3.0,1000003.0,10.0,0.05,0.25,23400.0,3.840592885142155,21.705505894212138,647.8009917334334,11904.211024812459,94704.0,10.0,94714.0,94182.0,14489.538461538463,14571.384615384617,945.8306249999976,145.5124038461535,10.042583773969524,18.0,9.703545493378899,0.0,0.0,3.517738637765651e-05,0.0,0.0,0.0,-0.09813819095477412,0.743497371673584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S53,3.0,1000003.0,10.0,0.05,0.5,23400.0,3.9284082483234157,21.91566926992573,595.8204013822493,10645.999590430145,94572.0,10.0,94582.0,94116.0,14479.384615384617,14551.076923076924,1667.772499999999,256.58038461538445,17.720392919376078,21.0,10.99316531396839,0.0,0.0,3.483629278509803e-05,0.0,0.0,0.0,-0.30574510113780046,0.7133591175079346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S54,3.0,1000003.0,10.0,0.05,1.0,23400.0,4.13177406548125,22.391421038997578,585.1970615675915,10227.147353441034,94214.0,10.0,94224.0,93937.0,14451.846153846154,14496.0,3544.8412500000004,545.3601923076924,37.73636852358496,18.0,7.627936779154208,0.0,0.0,3.107855525846274e-05,0.0,0.0,0.0,-0.7505238034623217,0.6720705032348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S55,3.0,1000003.0,10.0,0.05,2.0,23400.0,4.621461314583924,23.515812261316114,749.437489223566,12587.188516118447,93908.0,10.0,93918.0,93784.0,14428.307692307693,14448.923076923078,6965.516875000002,1071.617980769231,74.27191072037877,-4.0,0.5540367364374199,0.0,0.0,2.7715615354371714e-05,0.0,0.0,0.0,-1.6482556724159885,0.6797361373901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S56,3.0,1000003.0,10.0,0.1,0.1,23400.0,1.9406573878931677,21.031252927055903,635.458476827547,11524.612319177424,94956.0,10.0,94966.0,94308.0,14508.923076923078,14610.153846153848,339.6953124999794,52.260817307689145,3.6019776954232876,8.0,5.251174711661683,0.0,0.0,1.2972877159159962e-05,0.0,0.0,0.0,-0.05176606293793223,0.6406724452972412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S57,3.0,1000003.0,10.0,0.1,0.25,23400.0,1.9820743010295643,21.93039689321995,584.2241004549999,10406.73166827239,94628.0,10.0,94638.0,94144.0,14483.692307692309,14559.692307692309,812.30625,124.97019230769232,8.628337971617947,13.0,5.8073472874839815,0.0,0.0,1.2425215732099394e-05,0.0,0.0,0.0,-0.16898668265589512,0.8066051006317139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S58,3.0,1000003.0,10.0,0.1,0.5,23400.0,2.079928449985832,22.04257246383895,551.5808898851815,10013.377796534747,94356.0,10.0,94366.0,94008.0,14462.769230769232,14517.846153846154,1691.9521874999987,260.30033653846135,17.997959615139123,7.0,5.21315677061085,0.0,0.0,1.1636763882260872e-05,0.0,0.0,0.0,-0.37751430992581214,0.7671117782592773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S59,3.0,1000003.0,10.0,0.1,1.0,23400.0,2.309600837111552,23.570436659343613,728.2091828537979,12585.622214120996,93930.0,10.0,93940.0,93795.0,14430.0,14452.307692307693,3411.179375000004,524.7968269230776,36.368456474225745,-5.0,0.6552755232806493,0.0,0.0,9.92850997793446e-06,0.0,0.0,0.0,-0.8198584996162702,0.8087422847747803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S60,3.0,1000003.0,10.0,0.1,2.0,23400.0,2.7097068781288365,23.741571602655313,780.1382336613274,12094.42066093917,93738.0,10.0,93748.0,93699.0,14415.23076923077,14422.769230769232,5821.139375000003,895.5599038461544,62.125949850051796,-2.0,0.4075181546347715,0.0,0.0,1.080234651033704e-05,0.0,0.0,0.0,-1.4263062032335643,0.7109692096710205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
