Scenario,Replication,seed,order_size_mean,limit_price_decay_rate,mm_base_spread,sim_duration,avg_spread,median_exec_time,mean_exec_time,p99_exec_time,resting_exec_count,market_exec_count,total_executions,trade_count,trades_per_hour,execs_per_hour,mm_final_pnl,mm_final_pnl_per_hour,mm_final_pnl_per_1k_trades,mm_final_inventory,avg_mm_inventory,rest_exec_skew,rest_exec_kurtosis,price_volatility,depth_within_5_ticks,mm_depth_within_5_ticks,mm_depth_fraction,mm_realized_spread,runtime_sec,bid_level_1,bid_level_2,bid_level_3,bid_level_4,bid_level_5,ask_level_1,ask_level_2,ask_level_3,ask_level_4,ask_level_5,Replications,sim_duration_Mean,sim_duration_CI_95,avg_spread_Mean,avg_spread_CI_95,median_exec_time_Mean,median_exec_time_CI_95,mean_exec_time_Mean,mean_exec_time_CI_95,p99_exec_time_Mean,p99_exec_time_CI_95,resting_exec_count_Mean,resting_exec_count_CI_95,market_exec_count_Mean,market_exec_count_CI_95,total_executions_Mean,total_executions_CI_95,trade_count_Mean,trade_count_CI_95,trades_per_hour_Mean,trades_per_hour_CI_95,execs_per_hour_Mean,execs_per_hour_CI_95,mm_final_pnl_Mean,mm_final_pnl_CI_95,mm_final_pnl_per_hour_Mean,mm_final_pnl_per_hour_CI_95,mm_final_pnl_per_1k_trades_Mean,mm_final_pnl_per_1k_trades_CI_95,mm_final_inventory_Mean,mm_final_inventory_CI_95,avg_mm_inventory_Mean,avg_mm_inventory_CI_95,rest_exec_skew_Mean,rest_exec_skew_CI_95,rest_exec_kurtosis_Mean,rest_exec_kurtosis_CI_95,price_volatility_Mean,price_volatility_CI_95,depth_within_5_ticks_Mean,depth_within_5_ticks_CI_95,mm_depth_within_5_ticks_Mean,mm_depth_within_5_ticks_CI_95,mm_depth_fraction_Mean,mm_depth_fraction_CI_95,mm_realized_spread_Mean,mm_realized_spread_CI_95,runtime_sec_Mean,runtime_sec_CI_95,bid_level_1_Mean,bid_level_1_CI_95,bid_level_2_Mean,bid_level_2_CI_95,bid_level_3_Mean,bid_level_3_CI_95,bid_level_4_Mean,bid_level_4_CI_95,bid_level_5_Mean,bid_level_5_CI_95,ask_level_1_Mean,ask_level_1_CI_95,ask_level_2_Mean,ask_level_2_CI_95,ask_level_3_Mean,ask_level_3_CI_95,ask_level_4_Mean,ask_level_4_CI_95,ask_level_5_Mean,ask_level_5_CI_95
S76,2.0,1000002.0,20.0,0.05,0.1,23400.0,3.876290080369721,25.21803220269544,893.1889790323488,15076.035531948914,185798.0,10.0,185808.0,185134.0,28482.153846153848,28585.846153846156,517.8653124999639,79.671586538456,2.7972458462517094,-5.0,6.548910721913712,0.0,0.0,2.7625167043482623e-05,0.0,0.0,0.0,0.01780204651603712,1.1723058223724365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S77,2.0,1000002.0,20.0,0.05,0.25,23400.0,3.9136718694021844,25.460659517608292,906.6288710805103,15367.1813949155,185624.0,10.0,185634.0,185047.0,28468.769230769234,28559.076923076926,1094.4781250000044,168.38125000000068,5.9145953460472445,-10.0,5.55104656129859,0.0,0.0,2.7337595370795127e-05,0.0,0.0,0.0,-0.10790202317629181,1.2369976043701172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S78,2.0,1000002.0,20.0,0.05,0.5,23400.0,4.036983739461177,24.79916064194731,805.3474305072274,13583.560147960105,185458.0,10.0,185468.0,184964.0,28456.0,28533.538461538465,2001.4578124999994,307.91658653846144,10.82079654689561,3.0,12.287483981204613,0.0,0.0,2.763598659788365e-05,0.0,0.0,0.0,-0.3372128078192432,1.0791020393371582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S79,2.0,1000002.0,20.0,0.05,1.0,23400.0,4.222216504155821,25.934734170992215,920.868699598386,15265.993545579315,185056.0,10.0,185066.0,184763.0,28425.076923076926,28471.69230769231,3704.4546874999987,569.9161057692306,20.049764766214007,-8.0,6.920973942759504,0.0,0.0,2.534356236872387e-05,0.0,0.0,0.0,-0.7666591314314826,1.3821258544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S80,2.0,1000002.0,20.0,0.05,2.0,23400.0,4.771486179363014,25.05701401811166,942.6665507358285,15231.215665035012,184832.0,10.0,184842.0,184651.0,28407.846153846156,28437.23076923077,7135.540000000008,1097.775384615386,38.64338671331326,-2.0,4.80948312686886,0.0,0.0,2.4053628978486877e-05,0.0,0.0,0.0,-1.5969984994283537,1.3578381538391113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S81,2.0,1000002.0,20.0,0.1,0.1,23400.0,1.9967332110272484,24.448167701213606,822.9685039385382,13866.219306295607,186158.0,10.0,186168.0,185314.0,28509.846153846156,28641.23076923077,438.6756249999718,67.48855769230336,2.367201749462921,-2.0,5.647159333618112,0.0,0.0,1.1545319409333994e-05,0.0,0.0,0.0,-0.08269086732124294,1.1199886798858643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S82,2.0,1000002.0,20.0,0.1,0.25,23400.0,2.0609875892665217,24.857057601453562,872.4394197213951,13914.055059675398,185926.0,10.0,185936.0,185198.0,28492.0,28605.538461538465,898.6300000000017,138.2507692307695,4.852266223177366,-8.0,6.215292609995728,0.0,0.0,1.167592093664705e-05,0.0,0.0,0.0,-0.20413508421985851,0.9366757869720459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S83,2.0,1000002.0,20.0,0.1,0.5,23400.0,2.125926923857747,26.249061897953652,979.7388236947766,15357.458046431248,185292.0,10.0,185302.0,184881.0,28443.23076923077,28508.0,1719.2393750000049,264.49836538461614,9.299167437432754,-8.0,4.529260999572832,0.0,0.0,1.0720509628048987e-05,0.0,0.0,0.0,-0.3889744007502544,1.03971529006958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S84,2.0,1000002.0,20.0,0.1,1.0,23400.0,2.383301764133368,25.422250321983938,957.3115515458026,15448.334729108932,184864.0,10.0,184874.0,184667.0,28410.307692307695,28442.153846153848,3555.116874999993,546.9410576923066,19.25150067418647,-4.0,2.278086287911149,0.0,0.0,9.698123639600985e-06,0.0,0.0,0.0,-0.7885500286697252,1.1054399013519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S85,2.0,1000002.0,20.0,0.1,2.0,23400.0,2.7828417616554013,25.134474193026108,1000.6347712622172,16216.763860767784,184588.0,10.0,184598.0,184529.0,28389.076923076926,28399.69230769231,6125.253281250009,942.3466586538476,33.19398729332522,-10.0,0.7774455360956856,0.0,0.0,1.0083289987898205e-05,0.0,0.0,0.0,-1.4143236160479198,0.9696962833404541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S86,2.0,1000002.0,20.0,0.2,0.1,23400.0,1.017835256992044,26.469900017116743,978.6951704069616,15127.57357927036,185834.0,10.0,185844.0,185152.0,28484.923076923078,28591.384615384617,330.1074999999837,50.785769230766725,1.7828999956791378,-7.0,1.4122170012815036,0.0,0.0,3.950585052914308e-06,0.0,0.0,0.0,-0.08947325258641875,1.1255087852478027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S87,2.0,1000002.0,20.0,0.2,0.25,23400.0,1.0655309268193653,26.75416386643701,1027.7443853451882,15578.120204468782,185354.0,10.0,185364.0,184912.0,28448.0,28517.538461538465,842.6653124999993,129.6408173076922,4.557115344055547,-1.0,2.0935497650576678,0.0,0.0,3.7548401733084165e-06,0.0,0.0,0.0,-0.19383098591549297,1.465257167816162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S88,2.0,1000002.0,20.0,0.2,0.5,23400.0,1.1838058512861545,25.82877459384963,952.8805228919307,14974.264123794006,184920.0,10.0,184930.0,184695.0,28414.615384615387,28450.769230769234,1702.3299999999995,261.89692307692303,9.216979344324423,-7.0,1.8756941478000855,0.0,0.0,3.442388840046497e-06,0.0,0.0,0.0,-0.39119553411704566,1.1737959384918213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
