Experiment,Independent_Var,Value,Avg_Spread_Mean,Avg_Spread_CI,Median_Exec_Time_Mean,Median_Exec_Time_CI,MM_PnL_Mean,MM_PnL_CI,MM_Abs_Inventory_Mean,MM_Abs_Inventory_CI,Volume_Mean,Volume_CI
Exp1_Liquidity_Supply,lam_limit,0.2,0.512563060993822,0.049216062054714044,5.921295421889499,1.4368551083721377,2852.0536251322164,190.08977822114096,8.2,10.585263295733364,2980.6,122.13958355651944
Exp1_Liquidity_Supply,lam_limit,0.5,0.40574134619090696,0.024255160664732336,6.106594308888726,2.0727343398704314,5113.294632158983,286.7031166730684,6.0,7.802486167882645,7479.6,94.4354236383784
Exp1_Liquidity_Supply,lam_limit,1.0,0.3239111808898979,0.019929781279818645,11.143534443977932,4.754622563463682,9013.163400868652,246.17539097075365,9.2,5.510202667779108,15091.4,193.37903719938205
Exp1_Liquidity_Supply,lam_limit,2.0,0.6447065915342127,1.0476265438895784,252.19022111238738,450.10080404656253,7521.4143517952325,26014.2179850976,8.8,7.8222143565617,31161.6,1991.1496612060478
Exp1_Liquidity_Supply,lam_limit,5.0,0.23508276392709368,0.007654017105219146,201.7331683255001,46.482117279300105,40262.02514797587,270.37529009844945,6.0,5.19342045284223,75751.4,337.76357575937635
Exp2_Market_Stability,lam_cancel,0.1,0.3852716568517834,0.01716324331654151,3.56390384040933,1.938487193278837,10383.082454887735,950.662900242554,47.0,115.92583977008749,15263.6,309.5589781133152
Exp2_Market_Stability,lam_cancel,0.5,1.4832992435229546,2.914403333369474,506.5459563202894,1398.2046429497736,1998.2237798702984,24609.63368684169,137.6,234.7888876607238,15502.6,2378.625380046416
Exp2_Market_Stability,lam_cancel,1.0,0.4110547426304779,0.028127243767598585,22.622626185432416,43.12217342247962,11050.333339479008,302.065739898863,12.2,8.707971740882028,14405.2,247.58652071354769
Exp2_Market_Stability,lam_cancel,5.0,0.46212774169648546,0.03992013142994058,277.3527131322609,150.47713894182982,12086.788077725438,388.5988370348278,17.2,9.71203347605433,12859.4,234.29439999999997
Exp2_Market_Stability,lam_cancel,10.0,0.43860864194801125,0.020286997984630403,603.9802667720044,149.4120203545406,12054.737957623769,374.7829940214377,14.4,12.119394149873994,12402.2,233.85621109185868
Exp3_MM_Strategy,mm_skew_coef,0.0,0.5416187650442668,0.009401560009629465,3.083171638306703,0.2649948679164676,6690.2316194973755,1048.9267067618723,760.6,168.23705175543225,8932.4,124.25693536603902
Exp3_MM_Strategy,mm_skew_coef,0.01,0.49214794296768016,0.01892966258597947,4.34740861987728,0.6912719696821881,6143.092370743061,100.75326253432563,37.0,35.71235259682565,9099.0,186.05620981198126
Exp3_MM_Strategy,mm_skew_coef,0.05,0.35301702082317343,0.023994523389499877,11.440364304707554,8.789852618064511,5837.730513417405,256.190772233406,8.4,7.7827079708800575,9027.0,270.6891820165704
Exp3_MM_Strategy,mm_skew_coef,0.1,0.4277155287326623,0.26246837681235025,118.17655715705754,269.5258551072043,5005.688959304112,2142.427002261781,3.0,2.1502803538143573,9360.6,458.6457768720431
Exp3_MM_Strategy,mm_skew_coef,0.5,2.8380618698629156,3.3359785193836333,254.67023962780613,265.75916993329497,-11682.531390551663,12075.813620790836,1.4,1.8827748033155742,11551.6,587.3077909969865
