Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,n_rep,avg_spread_mean,avg_spread_CI95_lower,avg_spread_CI95_upper,price_volatility_mean,price_volatility_CI95_lower,price_volatility_CI95_upper,depth_within_5_ticks_mean,depth_within_5_ticks_CI95_lower,depth_within_5_ticks_CI95_upper,mm_final_pnl_per_1k_trades_mean,mm_final_pnl_per_1k_trades_CI95_lower,mm_final_pnl_per_1k_trades_CI95_upper,mm_final_inventory_mean,mm_final_inventory_CI95_lower,mm_final_inventory_CI95_upper,mm_realized_spread_mean,mm_realized_spread_CI95_lower,mm_realized_spread_CI95_upper
S114,30.0,0.2,1.0,5,1.3689680519130083,1.3506283611553411,1.387307742670676,3.690476687306661e-06,3.1205030308032094e-06,4.260450343810113e-06,0.0,0.0,0.0,10.390278287128762,10.16770720472337,10.612849369534151,-0.6,-8.675590207013718,7.475590207013719,-0.6985503727895321,-0.7089593739827084,-0.6881413715963559
S115,30.0,0.2,2.0,5,1.57986669164933,1.5624560605241462,1.5972773227745138,4.777241154812447e-06,4.0350022810415305e-06,5.519480028583363e-06,0.0,0.0,0.0,12.735554964710124,12.148937699793144,13.322172229627103,2.0,-12.453523623704765,16.453523623704765,-0.9468243903554028,-0.9618727663643812,-0.9317760143464244
S116,30.0,0.3,0.1,5,0.6873632748249953,0.6769776102606113,0.6977489393893792,2.0022011325707773e-06,1.8763344813379155e-06,2.128067783803639e-06,1.8,-3.197601189356037,6.797601189356037,1.1869302710188383,1.0399427490911588,1.3339177929465178,1.4,-6.183304673388708,8.983304673388709,-0.0804006399896604,-0.088912444355689,-0.0718888356236319
S117,30.0,0.3,0.25,5,0.741168451844296,0.7302240461350276,0.7521128575535645,1.7796967907455642e-06,1.6279168847270577e-06,1.931476696764071e-06,13.2,-23.44907538861094,49.84907538861094,2.9214554665522545,2.7030653621905745,3.1398455709139346,-0.2,-4.71118933259809,4.311189332598089,-0.1943699889082855,-0.1999631798514909,-0.18877679796508
S118,30.0,0.3,0.5,5,0.8494699148210726,0.8344491560327784,0.8644906736093668,1.700431695546153e-06,1.4839020156277078e-06,1.916961375464598e-06,0.0,0.0,0.0,5.480753545762687,5.250398552577875,5.7111085389474985,-2.6,-7.128244929659871,1.9282449296598707,-0.3722227395486287,-0.3797942730865665,-0.3646512060106909
S119,30.0,0.3,1.0,5,0.9952092568678652,0.98286683861261,1.0075516751231206,2.017499460173173e-06,1.7915541996335475e-06,2.243444720712799e-06,0.0,0.0,0.0,7.979743621737368,7.780817242926682,8.178670000548054,1.2,-3.8741385860134487,6.274138586013449,-0.5613009716843843,-0.5646235163330706,-0.557978427035698
S12,1.0,0.2,0.25,5,0.8489854604194637,0.8394384774928089,0.8585324433461184,1.3208756737783344e-06,1.1705105791659371e-06,1.4712407683907315e-06,0.0,0.0,0.0,86.91369759519037,84.64644510220278,89.18095008817797,0.6,-2.390322893890408,3.5903228938904084,-0.1867281530278529,-0.1896653453917456,-0.1837909606639602
S120,30.0,0.3,2.0,5,1.109680147434607,1.096805691339482,1.122554603529732,2.6355811492391936e-06,2.3379850960757875e-06,2.9331772024026e-06,0.0,0.0,0.0,6.969856957276788,6.585745299658723,7.353968614894852,4.0,-11.828172390416604,19.828172390416604,-0.6576949446759004,-0.668226961795837,-0.6471629275559638
S121,30.0,0.5,0.1,5,0.4296102853504725,0.42351865917432,0.435701911526625,7.507451425128521e-07,6.922832155503508e-07,8.092070694753534e-07,6.2,-11.013959652226356,23.413959652226357,1.1272062260610425,1.016543689474484,1.237868762647601,-0.2,-3.4139675707319967,3.0139675707319964,-0.0816908101428042,-0.0853577125526398,-0.0780239077329686
S122,30.0,0.5,0.25,5,0.4865415995143222,0.4788257263290458,0.4942574726995986,6.778757263609426e-07,6.1545476009745e-07,7.402966926244352e-07,0.0,0.0,0.0,2.6692179199360946,2.5602445358471337,2.7781913040250554,-0.8,-3.021156084158239,1.421156084158239,-0.1866004658536851,-0.1904436927528879,-0.1827572389544823
S123,30.0,0.5,0.5,5,0.5679471907594286,0.5621593992763029,0.5737349822425543,7.301679123814995e-07,6.696479814982055e-07,7.906878432647935e-07,0.0,0.0,0.0,4.1740738784232665,3.995836081725033,4.352311675121499,2.6,-0.977199284470116,6.177199284470117,-0.3022377384959019,-0.3067155051003847,-0.2977599718914192
S124,30.0,0.5,1.0,5,0.6471938493228017,0.6387718738450383,0.655615824800565,9.300753080508876e-07,8.598360492968282e-07,1.000314566804947e-06,0.0,0.0,0.0,4.387221838083569,4.197807703261464,4.576635972905674,2.2,-12.076436454604313,16.476436454604315,-0.3810633392369026,-0.390574320587422,-0.3715523578863832
S125,30.0,0.5,2.0,5,0.6908552880231,0.6779828571152718,0.7037277189309282,1.116439967757784e-06,1.0085295499277635e-06,1.2243503855878042e-06,0.0,0.0,0.0,1.7411352386963508,1.2229106943018817,2.25935978309082,3.0,-13.70488062461988,19.70488062461988,-0.3862894795102456,-0.411725277070447,-0.3608536819500443
S13,1.0,0.2,0.5,5,0.9981943818939591,0.9856074736553828,1.0107812901325357,1.2985606650877768e-06,1.2063504267442404e-06,1.3907709034313133e-06,0.0,0.0,0.0,162.35565307135138,158.2505564233918,166.46074971931097,0.6,-3.4805242839495416,4.680524283949541,-0.399235924605923,-0.4048321831191905,-0.3936396660926554
S14,1.0,0.2,1.0,5,1.229711552329638,1.2203668364880254,1.2390562681712507,2.174221438527145e-06,2.078432086599856e-06,2.270010790454434e-06,0.0,0.0,0.0,243.3126417278576,241.00186885436813,245.62341460134704,0.8,-3.1655568009096413,4.765556800909641,-0.6516701664347053,-0.6548704681022128,-0.6484698647671978
S15,1.0,0.2,2.0,5,1.4952498378231955,1.485954228261132,1.504545447385259,4.293600209544166e-06,4.052269644408418e-06,4.534930774679915e-06,0.0,0.0,0.0,255.7119335022458,250.9660764137164,260.45779059077523,5.2,-4.066840469278065,14.466840469278065,-0.8685620981802762,-0.8746993560675037,-0.8624248402930487
S16,1.0,0.3,0.1,5,0.5544961190761978,0.5458427893394274,0.5631494488129681,7.774193554064495e-07,7.466017825153468e-07,8.082369282975522e-07,0.4,-0.7105780420791198,1.51057804207912,32.99211644364485,31.28161827108661,34.70261461620309,0.8,-2.03142955396455,3.6314295539645496,-0.0615199747304406,-0.0640486730182498,-0.0589912764426314
