Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,mm_final_pnl_per_1k_trades_mean
S121,30.0,0.5,0.1,1.1272062260610425
S116,30.0,0.3,0.1,1.1869302710188383
S111,30.0,0.2,0.1,1.2563293488465803
S106,30.0,0.1,0.1,1.3671518250651995
S101,30.0,0.05,0.1,1.6444515759282996
