Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,price_volatility_mean
S22,1.0,0.5,0.25,2.514099254285966e-07
S21,1.0,0.5,0.1,2.697900176280839e-07
S23,1.0,0.5,0.5,4.206111911300118e-07
S17,1.0,0.3,0.25,5.940268278804691e-07
S47,5.0,0.5,0.25,6.353059693857328e-07
