Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,avg_spread_mean
S21,1.0,0.5,0.1,0.3514395693811417
S22,1.0,0.5,0.25,0.4193293894855318
S46,5.0,0.5,0.1,0.4246272689405426
S71,10.0,0.5,0.1,0.4291981321825043
S121,30.0,0.5,0.1,0.4296102853504725
