order_size_mean,0.05,0.1,0.2,0.3,0.5
1.0,2.1175838114633054e-05,6.094107015123044e-06,2.162754113385488e-06,1.2228473761381088e-06,5.731815156317795e-07
5.0,4.46259176282905e-05,1.371957858675181e-05,4.058038262998613e-06,1.9970657869676607e-06,8.20414803715797e-07
10.0,4.319207773007635e-05,1.3594953220403017e-05,4.155940764916614e-06,2.0538160708788604e-06,8.426266558683878e-07
20.0,3.634984563592173e-05,1.2335819657403226e-05,3.970811213740441e-06,2.023482112049622e-06,8.45205264030541e-07
30.0,3.631299963855381e-05,1.2308539511922894e-05,3.959311516363885e-06,2.027082045654972e-06,8.410608114127931e-07
