Scenario,CI_width
S1,14.67889142886709
S10,13.115225202799763
S100,1.106617800713066
S101,1.6719327089602785
S102,1.6015513076529557
S103,2.0796504642245877
S104,1.4373812095401526
S105,1.3301792674405846
S106,0.8544282575332723
S107,0.6554323526876802
S108,0.947640461043747
S109,0.4575521616395424
S11,3.856488045184676
S110,0.9345993624854003
S111,0.23837068412767737
S112,0.3931536701067815
S113,0.4096361068950305
S114,0.3142430734163497
S115,0.8282316384248247
S116,0.20752835518981172
S117,0.3083400451516569
S118,0.3252330008592512
S119,0.28085965160198434
S12,3.201082476247336
S120,0.5423185551351075
S121,0.15624193059217895
S122,0.15385705441429787
S123,0.251649910797461
S124,0.26742952962138666
S125,0.7316695043684631
S13,5.795893039583518
S14,3.262527916406782
S15,6.700568202197445
S16,2.4150136532055093
S17,4.153463229987892
S18,4.64525855368953
S19,2.5705222014532865
S2,24.173974697741954
S20,9.561677204827731
S21,1.9367756901719915
S22,3.35694238669484
S23,1.2760220529914932
S24,3.1120761231968004
S25,11.171352635316481
S26,9.302365911029046
S27,11.225541704521806
S28,12.107056959129054
S29,7.825392878551185
S3,22.006624925244836
S30,5.66087860823842
S31,5.583252606343848
S32,5.3890235490636655
S33,3.1570541167921675
S34,4.168618658674404
S35,4.41339784010016
S36,1.1432812009700992
S37,1.7274561027647408
S38,1.4303473324580835
S39,3.5438544307448865
S4,26.93775024738636
S40,3.779657485654411
S41,1.6370755919593805
S42,1.317244299461393
S43,1.5427932923028216
S44,2.7797871956180202
S45,3.1292609430253577
S46,0.8122051602855471
S47,0.8677795300910489
S48,1.278958062910732
S49,1.08962622489436
S5,25.342847897024967
S50,3.8429116667928245
S51,5.002228398993823
S52,5.178189590790971
S53,6.5628563008399325
S54,3.9194427611429816
S55,3.8711471723371176
S56,2.873220423187932
S57,2.0446240922268224
S58,2.33224579135533
S59,2.5032106426924514
S6,8.3885838264125
S60,2.6301082435051555
S61,1.1742855387527444
S62,1.1732155821537233
S63,1.5083415070829815
S64,0.3997434899666956
S65,2.0467214304224797
S66,0.6510558655257581
S67,0.750177968423209
S68,0.7195727767051991
S69,1.2806153359865071
S7,9.96610875425236
S70,2.3695672183443186
S71,0.30189189751540724
S72,0.5707010427378973
S73,0.6902154042233697
S74,0.5836629313708084
S75,2.4221914303427554
S76,2.9316897673187663
S77,2.4646475479283723
S78,2.9188928049867435
S79,2.217928561668
S8,11.059722642784465
S80,2.0478140636409705
S81,1.382621482917889
S82,1.0335392334338724
S83,1.2472087004550314
S84,0.8491900543470976
S85,1.641515307028527
S86,0.5616856945440492
S87,0.5150770342825455
S88,0.540705226499913
S89,0.4616215003631403
S9,16.355601255356987
S90,1.0057451184534543
S91,0.29816237569936277
S92,0.3256758334714096
S93,0.43598129466045776
S94,0.45438186326408037
S95,0.9573139664480657
S96,0.2644029868922093
S97,0.2683431467626214
S98,0.4163093908151172
S99,0.401557111288545
