Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,mean_exec_time_mean
S20,1.0,0.3,2.0,865.4256444206558
S24,1.0,0.5,1.0,852.2579008072447
S117,30.0,0.3,0.25,849.8386433686779
S25,1.0,0.5,2.0,844.776883704719
S92,20.0,0.3,0.25,842.7423362811511
