Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,median_exec_time_mean
S1,1.0,0.05,0.1,7.935406521078494
S6,1.0,0.1,0.1,8.038517260015988
S2,1.0,0.05,0.25,8.18826302562104
S3,1.0,0.05,0.5,8.486265614024614
S11,1.0,0.2,0.1,8.58499016882106
